Disease,Average Similarity
impetigo,-0.10823226720094681
nail-fungus,-0.11081184446811676
erythema-ab-igne,-0.11368931084871292
venous-lake,-0.11405164003372192
athlete's-foot,-0.11809690296649933
cellulitis,-0.11810735613107681
spider-angioma,-0.11855210363864899
chickenpox,-0.11870452016592026
rosacea,-0.11949887871742249
herpes,-0.12033257633447647
basal-cell-carcinoma,-0.12071943283081055
melanotic-macule,-0.12106819450855255
perleche,-0.12122875452041626
tinea-beard,-0.12140295654535294
ringworm,-0.1221998780965805
cutaneous-larva-migrans,-0.12325982749462128
skin-tags,-0.1235387995839119
actinic-comedones,-0.12454207241535187
sycosis-barbae,-0.12471369653940201
hidrocystoma,-0.1266593039035797
